case,GW0,KG,figure,full_nse,full_pbias,full_peak_error,full_ttp_h,full_sim_peak,full_obs_peak,full_sim_peak_time,full_obs_peak_time,full_sim_mean,full_obs_mean,formal_nse,formal_pbias,formal_peak_error,formal_ttp_h,formal_sim_peak,formal_obs_peak,formal_sim_peak_time,formal_obs_peak_time,formal_sim_mean,formal_obs_mean,pre_0204_0206_nse,pre_0204_0206_pbias,pre_0204_0206_peak_error,pre_0204_0206_ttp_h,pre_0204_0206_sim_peak,pre_0204_0206_obs_peak,pre_0204_0206_sim_peak_time,pre_0204_0206_obs_peak_time,pre_0204_0206_sim_mean,pre_0204_0206_obs_mean,feb7_nse,feb7_pbias,feb7_peak_error,feb7_ttp_h,feb7_sim_peak,feb7_obs_peak,feb7_sim_peak_time,feb7_obs_peak_time,feb7_sim_mean,feb7_obs_mean,feb10_nse,feb10_pbias,feb10_peak_error,feb10_ttp_h,feb10_sim_peak,feb10_obs_peak,feb10_sim_peak_time,feb10_obs_peak_time,feb10_sim_mean,feb10_obs_mean
gw0_0_kg_0p05,0,0.05,/Users/flora/code/seims/data/AndrewsForest/andrews_forest_model/storm/experiments/20260616_gw0_kg_after_ikw_ch_fix/gw0_0_kg_0p05/q_pcp_comparison_gw0_0_kg_0p05_full.png,-0.5811388287629142,-27.475395593763814,37.33690981934104,563.6666666666666,21.81699944,15.885750938112,2015-02-10 15:40:00,2015-01-18 04:00:00,2.988188009438034,4.120240343125662,-2.4039349894614186,8.36060165151082,108.79676533509571,72.66666666666667,21.81699944,10.448916392448,2015-02-10 15:40:00,2015-02-07 15:00:00,5.176828473180271,4.777408388547918,-9.352142010255024,-50.67118686471105,-56.790828079256116,0.16666666666666666,1.66402459,3.851091136512,2015-02-06 23:55:00,2015-02-06 23:45:00,1.3233790635606062,2.682770939432727,-2.355140381872648,-48.22738561671794,6.48556703967686,9.0,11.12658787,10.448916392448,2015-02-08 00:00:00,2015-02-07 15:00:00,3.9059998878200686,7.544528964489301,-707.8097474239025,111.04268296889522,160.29056219138621,10.916666666666666,21.81699944,8.381786591232,2015-02-10 15:40:00,2015-02-10 04:45:00,16.607045602733564,7.86904590536371
gw0_40_kg_0p05,40,0.05,/Users/flora/code/seims/data/AndrewsForest/andrews_forest_model/storm/experiments/20260616_gw0_kg_after_ikw_ch_fix/gw0_40_kg_0p05/q_pcp_comparison_gw0_40_kg_0p05_full.png,-0.30175726229750155,-10.330169794914276,39.67622806402306,563.5833333333334,22.18861771,15.885750938112,2015-02-10 15:35:00,2015-01-18 04:00:00,3.694612519722222,4.120240343125662,-2.4854912840858776,16.42101272357104,112.35328982091309,72.58333333333333,22.18861771,10.448916392448,2015-02-10 15:35:00,2015-02-07 15:00:00,5.561907227888323,4.777408388547918,-3.6287746118855315,-32.618615995450874,-45.06130769171406,0.16666666666666666,2.11573911,3.851091136512,2015-02-06 23:55:00,2015-02-06 23:45:00,1.8076881886616163,2.682770939432727,-1.7455296802365434,-41.63676333217761,10.866115058329,9.0,11.58430767,10.448916392448,2015-02-08 00:00:00,2015-02-07 15:00:00,4.403231295017301,7.544528964489301,-752.4451658672684,116.10626704226699,164.72420251323285,10.833333333333334,22.18861771,8.381786591232,2015-02-10 15:35:00,2015-02-10 04:45:00,17.005501357923876,7.86904590536371
gw0_80_kg_0p03,80,0.03,/Users/flora/code/seims/data/AndrewsForest/andrews_forest_model/storm/experiments/20260616_gw0_kg_after_ikw_ch_fix/gw0_80_kg_0p03/q_pcp_comparison_gw0_80_kg_0p03_full.png,-0.2523770457392407,-3.5578754500024767,40.674305968037096,563.5833333333334,22.34716988,15.885750938112,2015-02-10 15:35:00,2015-01-18 04:00:00,3.9736473234764964,4.120240343125662,-2.544899395029644,19.624406015562325,113.87069281319462,72.58333333333333,22.34716988,10.448916392448,2015-02-10 15:35:00,2015-02-07 15:00:00,5.714946407738095,4.777408388547918,-1.370656926786265,-21.58408947214628,-38.24152154046046,0.16666666666666666,2.37837529,3.851091136512,2015-02-06 23:55:00,2015-02-06 23:45:00,2.1037192595328285,2.682770939432727,-1.4454702192721927,-37.97608133789625,13.254180678036201,9.0,11.83383465,10.448916392448,2015-02-08 00:00:00,2015-02-07 15:00:00,4.679412508373702,7.544528964489301,-771.9882699299618,118.27184840639073,166.61582989212437,10.833333333333334,22.34716988,8.381786591232,2015-02-10 15:35:00,2015-02-10 04:45:00,17.175911949584773,7.86904590536371
gw0_120_kg_0p02,120,0.02,/Users/flora/code/seims/data/AndrewsForest/andrews_forest_model/storm/experiments/20260616_gw0_kg_after_ikw_ch_fix/gw0_120_kg_0p02/q_pcp_comparison_gw0_120_kg_0p02_full.png,-0.25146595038917474,-1.1779348217656695,41.26995650019411,563.5833333333334,22.44179344,15.885750938112,2015-02-10 15:35:00,2015-01-18 04:00:00,4.071706597383547,4.120240343125662,-2.588416964668021,21.45154769855638,114.77627532956342,72.58333333333333,22.44179344,10.448916392448,2015-02-10 15:35:00,2015-02-07 15:00:00,5.802236427772109,4.777408388547918,-0.5938027152465157,-16.1357422658354,-34.7288339616741,0.16666666666666666,2.51365209,3.851091136512,2015-02-06 23:55:00,2015-02-06 23:45:00,2.2498859350631313,2.682770939432727,-1.300226213561528,-36.066438374780645,14.530776403277223,9.0,11.96722507,10.448916392448,2015-02-08 00:00:00,2015-02-07 15:00:00,4.823486074844291,7.544528964489301,-783.8352178264304,119.55331491098842,167.7447486371922,10.833333333333334,22.44179344,8.381786591232,2015-02-10 15:35:00,2015-02-10 04:45:00,17.276751137093424,7.86904590536371
gw0_160_kg_0p015,160,0.015,/Users/flora/code/seims/data/AndrewsForest/andrews_forest_model/storm/experiments/20260616_gw0_kg_after_ikw_ch_fix/gw0_160_kg_0p015/q_pcp_comparison_gw0_160_kg_0p015_full.png,-0.25398953524264,0.27058146209779466,41.689385271673494,563.5833333333334,22.50842285,15.885750938112,2015-02-10 15:35:00,2015-01-18 04:00:00,4.131388949688033,4.120240343125662,-2.621171946742711,22.74738937983434,115.41394346181256,72.58333333333333,22.50842285,10.448916392448,2015-02-10 15:35:00,2015-02-07 15:00:00,5.864144076955783,4.777408388547918,-0.22986440557260335,-12.820989090134914,-32.53213523393064,0.16666666666666666,2.59824896,3.851091136512,2015-02-06 23:55:00,2015-02-06 23:45:00,2.3388131699747476,2.682770939432727,-1.2123789994154373,-34.858913086130954,15.351076200698792,9.0,12.05293751,10.448916392448,2015-02-08 00:00:00,2015-02-07 15:00:00,4.91458817,7.544528964489301,-792.2671372238827,120.45151669393469,168.5396795182731,10.833333333333334,22.50842285,8.381786591232,2015-02-10 15:35:00,2015-02-10 04:45:00,17.347431047716263,7.86904590536371
gw0_60_kg_0p04,60,0.04,/Users/flora/code/seims/data/AndrewsForest/andrews_forest_model/storm/experiments/20260616_gw0_kg_after_ikw_ch_fix/gw0_60_kg_0p04/q_pcp_comparison_gw0_60_kg_0p04_full.png,-0.2587230813138446,-5.414415685108668,40.324347755695854,563.5833333333334,22.29157639,15.885750938112,2015-02-10 15:35:00,2015-01-18 04:00:00,3.8971534037232907,4.120240343125662,-2.5213653680086026,18.564595583284827,113.3386425228872,72.58333333333333,22.29157639,10.448916392448,2015-02-10 15:35:00,2015-02-07 15:00:00,5.664314935243765,4.777408388547918,-2.1168533649741748,-25.767097464598503,-40.82163731746579,0.16666666666666666,2.27901268,3.851091136512,2015-02-06 23:55:00,2015-02-06 23:45:00,1.991498736717172,2.682770939432727,-1.5548944901083415,-39.35051095722322,12.35934061531373,9.0,11.74033356,10.448916392448,2015-02-08 00:00:00,2015-02-07 15:00:00,4.5757182676470585,7.544528964489301,-765.1135799320791,117.51278101623396,165.95256449643708,10.833333333333334,22.29157639,8.381786591232,2015-02-10 15:35:00,2015-02-10 04:45:00,17.11618058820069,7.86904590536371
