### Generation number: 50, Population size: 72 ###
###### Generation: 1 ######
generation	scenario	economy	environment	sed_sum	sed_pp	net_cost_pp	gene_values
0	105098810	131.884700	7.436997	2611720.666667	[2995135.0, 2379148.0, 2460879.2]	[54.71581999999999, 39.541719999999984, 37.62715999999999]	array('d', [0.0, 23.0, 0.0, 0.0, 0.0, 0.0, 21.0, 0.0, 0.0, 0.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 0.0, 0.0, 23.0, 0.0, 21.0, 0.0, 22.0, 22.0, 0.0, 21.0, 0.0, 0.0, 23.0, 21.0, 0.0, 21.0, 21.0, 0.0, 11.0, 33.0, 0.0, 0.0, 22.0, 22.0, 0.0, 22.0, 0.0, 21.0, 21.0, 0.0, 13.0, 33.0, 0.0, 0.0, 13.0, 0.0, 22.0, 0.0, 0.0, 0.0, 21.0, 0.0, 0.0, 11.0, 0.0, 22.0, 0.0, 0.0, 21.0, 23.0, 0.0, 12.0, 22.0, 0.0, 13.0, 32.0, 42.0, 22.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.0, 22.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 23.0, 0.0, 0.0, 0.0, 0.0])
0	186473640	300.000000	0.000000	0.000000	[]	[]	array('d', [0.0, 23.0, 0.0, 0.0, 0.0, 0.0, 21.0, 0.0, 0.0, 0.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.0, 0.0, 0.0, 22.0, 0.0, 21.0, 0.0, 23.0, 21.0, 0.0, 21.0, 0.0, 0.0, 21.0, 23.0, 0.0, 23.0, 22.0, 0.0, 13.0, 33.0, 0.0, 0.0, 22.0, 22.0, 0.0, 21.0, 0.0, 23.0, 22.0, 0.0, 12.0, 32.0, 0.0, 0.0, 12.0, 0.0, 22.0, 0.0, 0.0, 0.0, 23.0, 0.0, 0.0, 12.0, 0.0, 22.0, 0.0, 0.0, 22.0, 23.0, 0.0, 12.0, 21.0, 0.0, 12.0, 32.0, 43.0, 22.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.0, 23.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 23.0, 0.0, 0.0, 0.0, 0.0])
1	228834690	300.000000	0.000000	0.000000	[]	[]	array('d', [0.0, 22.0, 0.0, 0.0, 0.0, 0.0, 21.0, 0.0, 0.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.0, 0.0, 0.0, 23.0, 0.0, 22.0, 0.0, 23.0, 21.0, 0.0, 21.0, 0.0, 0.0, 23.0, 23.0, 0.0, 21.0, 23.0, 0.0, 11.0, 31.0, 0.0, 0.0, 23.0, 23.0, 0.0, 21.0, 0.0, 21.0, 23.0, 0.0, 11.0, 33.0, 0.0, 0.0, 12.0, 0.0, 21.0, 0.0, 0.0, 0.0, 23.0, 0.0, 0.0, 13.0, 0.0, 21.0, 0.0, 0.0, 23.0, 23.0, 0.0, 13.0, 22.0, 0.0, 13.0, 32.0, 42.0, 21.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.0, 23.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.0, 21.0, 0.0, 0.0, 0.0, 0.0])
0	167929416	300.000000	0.000000	0.000000	[]	[]	array('d', [0.0, 21.0, 0.0, 0.0, 0.0, 0.0, 21.0, 0.0, 0.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 0.0, 0.0, 23.0, 0.0, 22.0, 0.0, 22.0, 22.0, 0.0, 23.0, 0.0, 0.0, 23.0, 21.0, 0.0, 22.0, 21.0, 0.0, 12.0, 31.0, 0.0, 0.0, 21.0, 21.0, 0.0, 22.0, 0.0, 23.0, 23.0, 0.0, 13.0, 32.0, 0.0, 0.0, 13.0, 0.0, 22.0, 0.0, 0.0, 0.0, 23.0, 0.0, 0.0, 12.0, 0.0, 22.0, 0.0, 0.0, 21.0, 21.0, 0.0, 11.0, 23.0, 0.0, 11.0, 31.0, 41.0, 21.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 23.0, 0.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 22.0, 0.0, 0.0, 0.0, 0.0])
0	279016993	300.000000	0.000000	0.000000	[]	[]	array('d', [0.0, 21.0, 0.0, 0.0, 0.0, 0.0, 23.0, 0.0, 0.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.0, 0.0, 0.0, 22.0, 0.0, 21.0, 0.0, 21.0, 22.0, 0.0, 23.0, 0.0, 0.0, 21.0, 22.0, 0.0, 21.0, 22.0, 0.0, 13.0, 33.0, 0.0, 0.0, 21.0, 22.0, 0.0, 23.0, 0.0, 22.0, 23.0, 0.0, 13.0, 31.0, 0.0, 0.0, 13.0, 0.0, 22.0, 0.0, 0.0, 0.0, 21.0, 0.0, 0.0, 12.0, 0.0, 23.0, 0.0, 0.0, 21.0, 22.0, 0.0, 12.0, 23.0, 0.0, 12.0, 31.0, 41.0, 23.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 22.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 21.0, 0.0, 0.0, 0.0, 0.0])
0	206806472	300.000000	0.000000	0.000000	[]	[]	array('d', [0.0, 23.0, 0.0, 0.0, 0.0, 0.0, 22.0, 0.0, 0.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.0, 0.0, 0.0, 22.0, 0.0, 23.0, 0.0, 22.0, 23.0, 0.0, 22.0, 0.0, 0.0, 23.0, 21.0, 0.0, 23.0, 21.0, 0.0, 13.0, 32.0, 0.0, 0.0, 21.0, 21.0, 0.0, 22.0, 0.0, 23.0, 22.0, 0.0, 11.0, 32.0, 0.0, 0.0, 11.0, 0.0, 23.0, 0.0, 0.0, 0.0, 23.0, 0.0, 0.0, 11.0, 0.0, 22.0, 0.0, 0.0, 21.0, 23.0, 0.0, 13.0, 21.0, 0.0, 13.0, 32.0, 41.0, 21.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 22.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.0, 22.0, 0.0, 0.0, 0.0, 0.0])
0	669375766	300.000000	0.000000	0.000000	[]	[]	array('d', [0.0, 23.0, 0.0, 0.0, 0.0, 0.0, 23.0, 0.0, 0.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.0, 0.0, 0.0, 23.0, 0.0, 21.0, 0.0, 22.0, 22.0, 0.0, 23.0, 0.0, 0.0, 22.0, 21.0, 0.0, 22.0, 21.0, 0.0, 13.0, 31.0, 0.0, 0.0, 21.0, 23.0, 0.0, 22.0, 0.0, 22.0, 21.0, 0.0, 11.0, 33.0, 0.0, 0.0, 13.0, 0.0, 23.0, 0.0, 0.0, 0.0, 22.0, 0.0, 0.0, 11.0, 0.0, 21.0, 0.0, 0.0, 21.0, 21.0, 0.0, 11.0, 21.0, 0.0, 12.0, 33.0, 43.0, 22.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.0, 23.0, 0.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.0, 21.0, 0.0, 0.0, 0.0, 0.0])
0	630611093	300.000000	0.000000	0.000000	[]	[]	array('d', [0.0, 21.0, 0.0, 0.0, 0.0, 0.0, 21.0, 0.0, 0.0, 0.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 0.0, 0.0, 21.0, 0.0, 22.0, 0.0, 21.0, 22.0, 0.0, 21.0, 0.0, 0.0, 21.0, 23.0, 0.0, 23.0, 21.0, 0.0, 12.0, 31.0, 0.0, 0.0, 21.0, 22.0, 0.0, 22.0, 0.0, 23.0, 23.0, 0.0, 12.0, 31.0, 0.0, 0.0, 13.0, 0.0, 21.0, 0.0, 0.0, 0.0, 23.0, 0.0, 0.0, 13.0, 0.0, 21.0, 0.0, 0.0, 21.0, 22.0, 0.0, 13.0, 22.0, 0.0, 12.0, 32.0, 42.0, 21.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.0, 21.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 23.0, 0.0, 0.0, 0.0, 0.0])
0	132112968	300.000000	0.000000	0.000000	[]	[]	array('d', [0.0, 21.0, 0.0, 0.0, 0.0, 0.0, 21.0, 0.0, 0.0, 0.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.0, 0.0, 0.0, 21.0, 0.0, 21.0, 0.0, 23.0, 22.0, 0.0, 23.0, 0.0, 0.0, 21.0, 23.0, 0.0, 23.0, 21.0, 0.0, 11.0, 33.0, 0.0, 0.0, 21.0, 23.0, 0.0, 23.0, 0.0, 23.0, 23.0, 0.0, 12.0, 32.0, 0.0, 0.0, 13.0, 0.0, 21.0, 0.0, 0.0, 0.0, 22.0, 0.0, 0.0, 13.0, 0.0, 23.0, 0.0, 0.0, 22.0, 23.0, 0.0, 11.0, 21.0, 0.0, 13.0, 33.0, 42.0, 22.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 21.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.0, 23.0, 0.0, 0.0, 0.0, 0.0])
0	261888646	300.000000	0.000000	0.000000	[]	[]	array('d', [0.0, 22.0, 0.0, 0.0, 0.0, 0.0, 23.0, 0.0, 0.0, 0.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 0.0, 0.0, 22.0, 0.0, 23.0, 0.0, 21.0, 21.0, 0.0, 22.0, 0.0, 0.0, 23.0, 21.0, 0.0, 23.0, 22.0, 0.0, 12.0, 33.0, 0.0, 0.0, 23.0, 23.0, 0.0, 22.0, 0.0, 23.0, 22.0, 0.0, 11.0, 32.0, 0.0, 0.0, 12.0, 0.0, 21.0, 0.0, 0.0, 0.0, 22.0, 0.0, 0.0, 13.0, 0.0, 23.0, 0.0, 0.0, 22.0, 23.0, 0.0, 11.0, 23.0, 0.0, 12.0, 31.0, 43.0, 23.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.0, 23.0, 0.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 21.0, 0.0, 0.0, 0.0, 0.0])
