#LOCALTIME 8
RAINID,DATETIME,81502750
R2013004,2013-03-28 12:55:00,6
R2013004,2013-03-28 13:00:00,12
R2013004,2013-03-28 13:05:00,6
R2013004,2013-03-28 13:10:00,6
R2013004,2013-03-28 13:15:00,6
R2013004,2013-03-28 13:20:00,18
R2013004,2013-03-28 13:25:00,12
R2013004,2013-03-28 13:30:00,6
R2013004,2013-03-28 13:35:00,6
R2013004,2013-03-28 13:40:00,3
R2013004,2013-03-28 13:50:00,0
R2013004,2013-03-28 14:05:00,6
R2013004,2013-03-28 14:10:00,0
R2013005,2013-03-30 11:55:00,6
R2013005,2013-03-30 12:00:00,0
R2013005,2013-03-30 12:10:00,6
R2013005,2013-03-30 12:15:00,0
R2013005,2013-03-30 12:20:00,6
R2013005,2013-03-30 12:25:00,0
R2013005,2013-03-30 12:50:00,6
R2013005,2013-03-30 12:55:00,0.46
R2013005,2013-03-30 14:00:00,3
R2013005,2013-03-30 14:10:00,3
R2013005,2013-03-30 14:20:00,3
R2013005,2013-03-30 14:30:00,3
R2013005,2013-03-30 14:40:00,3
R2013005,2013-03-30 14:50:00,3
R2013005,2013-03-30 15:00:00,3
R2013005,2013-03-30 15:10:00,3
R2013005,2013-03-30 15:20:00,3
R2013005,2013-03-30 15:30:00,3
R2013005,2013-03-30 15:40:00,3
R2013005,2013-03-30 15:50:00,6
R2013005,2013-03-30 15:55:00,6
R2013005,2013-03-30 16:00:00,3
R2013005,2013-03-30 16:10:00,3
R2013005,2013-03-30 16:20:00,0
R2013005,2013-03-30 16:40:00,6
R2013005,2013-03-30 16:45:00,0
R2013005,2013-03-30 16:55:00,6
R2013005,2013-03-30 17:00:00,0
R2013005,2013-03-30 17:20:00,6
R2013005,2013-03-30 17:25:00,0
R2013005,2013-03-30 17:50:00,6
R2013005,2013-03-30 17:55:00,0
R2013005,2013-03-30 18:55:00,6
R2013005,2013-03-30 19:00:00,0
R2013006,2013-04-03 12:55:00,6
R2013006,2013-04-03 13:00:00,6
R2013006,2013-04-03 13:05:00,18
R2013006,2013-04-03 13:10:00,12
R2013006,2013-04-03 13:15:00,12
R2013006,2013-04-03 13:20:00,12
R2013006,2013-04-03 13:25:00,12
R2013006,2013-04-03 13:30:00,6
R2013006,2013-04-03 13:35:00,24
R2013006,2013-04-03 13:40:00,12
R2013006,2013-04-03 13:45:00,6
R2013006,2013-04-03 13:50:00,6
R2013006,2013-04-03 13:55:00,6
R2013006,2013-04-03 14:00:00,6
R2013006,2013-04-03 14:05:00,3
R2013006,2013-04-03 14:15:00,0
R2013006,2013-04-03 14:25:00,6
R2013006,2013-04-03 14:30:00,6
R2013006,2013-04-03 14:35:00,12
R2013006,2013-04-03 14:40:00,12
R2013006,2013-04-03 14:45:00,0
R2013006,2013-04-03 15:30:00,6
R2013006,2013-04-03 15:35:00,0
R2013007,2013-04-04 01:05:00,6
R2013007,2013-04-04 01:10:00,6
R2013007,2013-04-04 01:15:00,3
R2013007,2013-04-04 01:25:00,0
R2013007,2013-04-04 02:20:00,12
R2013007,2013-04-04 02:25:00,6
R2013007,2013-04-04 02:30:00,1.5
R2013007,2013-04-04 02:50:00,12
R2013007,2013-04-04 02:55:00,6
R2013007,2013-04-04 03:00:00,3
R2013007,2013-04-04 03:10:00,0
R2013007,2013-04-04 03:25:00,6
R2013007,2013-04-04 03:30:00,3
R2013007,2013-04-04 03:40:00,6
R2013007,2013-04-04 03:45:00,3
R2013007,2013-04-04 03:55:00,6
R2013007,2013-04-04 04:00:00,6
R2013007,2013-04-04 04:05:00,6
R2013007,2013-04-04 04:10:00,3
R2013007,2013-04-04 04:20:00,6
R2013007,2013-04-04 04:25:00,6
R2013007,2013-04-04 04:30:00,6
R2013007,2013-04-04 04:35:00,3
R2013007,2013-04-04 04:45:00,12
R2013007,2013-04-04 04:50:00,0
R2013007,2013-04-04 06:00:00,6
R2013007,2013-04-04 06:05:00,0
R2013007,2013-04-04 06:15:00,6
R2013007,2013-04-04 06:20:00,0
R2013007,2013-04-04 06:30:00,6
R2013007,2013-04-04 06:35:00,3
R2013007,2013-04-04 06:45:00,6
R2013007,2013-04-04 06:50:00,3
R2013007,2013-04-04 07:00:00,0
R2013007,2013-04-04 07:45:00,6
R2013007,2013-04-04 07:50:00,18
R2013007,2013-04-04 07:55:00,3
R2013007,2013-04-04 08:05:00,0
R2013007,2013-04-04 08:35:00,12
R2013007,2013-04-04 08:40:00,12
R2013007,2013-04-04 08:45:00,6
R2013007,2013-04-04 08:50:00,0
R2013007,2013-04-04 09:05:00,6
R2013007,2013-04-04 09:10:00,0
R2013007,2013-04-04 10:15:00,12
R2013007,2013-04-04 10:20:00,6
R2013007,2013-04-04 10:25:00,6
R2013007,2013-04-04 10:30:00,2
R2013007,2013-04-04 10:45:00,3
R2013007,2013-04-04 10:55:00,6
R2013007,2013-04-04 11:00:00,0
R2013007,2013-04-04 11:30:00,6
R2013007,2013-04-04 11:35:00,18
R2013007,2013-04-04 11:40:00,18
R2013007,2013-04-04 11:45:00,6
R2013007,2013-04-04 11:50:00,6
R2013007,2013-04-04 11:55:00,6
R2013007,2013-04-04 12:00:00,0
R2013007,2013-04-04 12:40:00,6
R2013007,2013-04-04 12:45:00,6
R2013007,2013-04-04 12:50:00,3
R2013007,2013-04-04 13:00:00,6
R2013007,2013-04-04 13:05:00,6
R2013007,2013-04-04 13:10:00,6
R2013007,2013-04-04 13:15:00,0
R2013007,2013-04-04 13:50:00,6
R2013007,2013-04-04 13:55:00,0
R2013007,2013-04-04 14:15:00,12
R2013007,2013-04-04 14:20:00,6
R2013007,2013-04-04 14:25:00,3
R2013007,2013-04-04 14:35:00,0
R2013007,2013-04-04 19:45:00,6
R2013007,2013-04-04 19:50:00,18
R2013007,2013-04-04 19:55:00,0
R2013007,2013-04-04 22:50:00,66
R2013007,2013-04-04 22:55:00,6
R2013007,2013-04-04 23:00:00,0
R2013008,2013-04-05 07:10:00,12
R2013008,2013-04-05 07:15:00,6
R2013008,2013-04-05 07:20:00,0
R2013008,2013-04-05 08:55:00,6
R2013008,2013-04-05 09:00:00,0
R2013008,2013-04-05 09:15:00,6
R2013008,2013-04-05 09:20:00,0
R2013008,2013-04-05 10:45:00,6
R2013008,2013-04-05 10:50:00,6
R2013008,2013-04-05 10:55:00,2
R2013008,2013-04-05 11:10:00,3
R2013008,2013-04-05 11:20:00,6
R2013008,2013-04-05 11:25:00,0
R2013008,2013-04-05 11:40:00,6
R2013008,2013-04-05 11:45:00,0
R2013008,2013-04-05 12:10:00,6
R2013008,2013-04-05 12:15:00,0
R2013008,2013-04-05 13:00:00,6
R2013008,2013-04-05 13:05:00,0
R2013008,2013-04-05 13:15:00,6
R2013008,2013-04-05 13:20:00,0
R2013008,2013-04-05 14:10:00,6
R2013008,2013-04-05 14:15:00,0
R2013008,2013-04-05 14:25:00,24
R2013008,2013-04-05 14:30:00,36
R2013008,2013-04-05 14:35:00,6
R2013008,2013-04-05 14:40:00,6
R2013008,2013-04-05 14:45:00,0
R2013008,2013-04-05 15:15:00,6
R2013008,2013-04-05 15:20:00,0
R2013008,2013-04-05 17:35:00,6
R2013008,2013-04-05 17:40:00,0
R2013009,2013-04-17 14:40:00,12
R2013009,2013-04-17 14:45:00,30
R2013009,2013-04-17 14:50:00,72
R2013009,2013-04-17 14:55:00,114
R2013009,2013-04-17 15:00:00,120
R2013009,2013-04-17 15:05:00,36
R2013009,2013-04-17 15:10:00,18
R2013009,2013-04-17 15:15:00,6
R2013009,2013-04-17 15:20:00,0
R2013010,2013-04-22 06:30:00,6
R2013010,2013-04-22 06:35:00,3
R2013010,2013-04-22 06:45:00,6
R2013010,2013-04-22 06:50:00,6
R2013010,2013-04-22 06:55:00,1
R2013010,2013-04-22 07:25:00,6
R2013010,2013-04-22 07:30:00,42
R2013010,2013-04-22 07:35:00,42
R2013010,2013-04-22 07:40:00,24
R2013010,2013-04-22 07:45:00,15
R2013010,2013-04-22 07:55:00,12
R2013010,2013-04-22 08:05:00,18
R2013010,2013-04-22 08:10:00,12
R2013010,2013-04-22 08:15:00,12
