### Soil physical properties (required) and chemical properties (optional) lookup table ##
### Reference: Arnold, J.G., Kiniry, J.R., Srinivasan, R., Williams, J.R., Haney, E.B., Neitsch, S.L., 2013. SWAT 2012 Input/Output Documentation.
### Variable Name   Definition
### SEQN            (required) Sequence number of soil catogory
### SNAM            (required) Soil name
### SOILLAYERS      (required) Soil layers number
### SOL_Z           (required, multi-values) Depth from soil surface to bottom of layer (mm)
### SOL_BD          (required, multi-values) Moist bulk density (Mg/m3 or g/cm3)
### SOL_AWC         (required, multi-values) Available water capacity
### SOL_ZMX         (optional) Maximum rooting depth of soil profile(mm)
### SOL_K           (optional, multi-values) Saturated hydraulic conductivity (mm/hr)
### ... (and other detailed SEIMS/SWAT format properties)
SEQN,SNAM,SOILLAYERS,SOL_ZMX,SOL_Z,SOL_BD,SOL_OM,SOL_CLAY,SOL_SILT,SOL_SAND,SOL_ROCK,SOL_WP,SOL_FC,SOL_POROSITY,SOL_K,SOL_AWC,SOL_NO3,SOL_NH4,SOL_ORGN,SOL_SOLP,SOL_ORGP
11,2671450,7,2000.0,50.0-230.0-340.0-520.0-750.0-1180.0-2000.0,0.75-0.75-0.8-1.0-1.05-1.1-1.15,75.174-7.016-6.014-4.009-3.007-2.005-0.752,18-18-18-20-25-22-20,42-42-42-37-30-36-40,40-40-40-43-45-42-40,0.0-10.0-15.0-25.0-45.0-45.0-45.0,-9999--9999--9999--9999--9999--9999--9999,-9999--9999--9999--9999--9999--9999--9999,0.925-0.717-0.698-0.623-0.604-0.585-0.566,1440.0-270.0-270.0-144.0-144.0-144.0-144.0,0.2-0.22-0.2-0.11-0.09-0.07-0.05,0-0-0-0-0-0-0,0-0-0-0-0-0-0,0-0-0-0-0-0-0,0-0-0-0-0-0-0,0-0-0-0-0-0-0
12,2671456,5,1600.0,30.0-250.0-460.0-1030.0-1600.0,0.65-0.65-0.65-0.7-0.8,75.174-8.019-7.016-3.508-0.752,13-13-13-13-13,37-37-37-37-37,50-50-50-50-50,0.0-10.0-10.0-15.0-10.0,-9999--9999--9999--9999--9999,-9999--9999--9999--9999--9999,0.925-0.755-0.755-0.736-0.698,1440.0-270.0-270.0-270.0-270.0,0.2-0.26-0.25-0.23-0.13,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0
13,2711032,6,1500.0,60.0-130.0-380.0-600.0-880.0-1500.0,0.75-0.75-0.8-1.0-1.05-1.1,75.174-7.016-7.016-4.009-3.508-2.005,20-20-22-26-24-24,60-60-58-54-56-56,20-20-20-20-20-20,0.0-30.0-30.0-30.0-30.0-30.0,-9999--9999--9999--9999--9999--9999,-9999--9999--9999--9999--9999--9999,0.925-0.717-0.698-0.623-0.604-0.585,1440.0-180.0-180.0-72.0-72.0-72.0,0.3-0.26-0.26-0.2-0.2-0.18,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0
14,2711055,5,1500.0,20.0-220.0-480.0-830.0-1500.0,0.65-0.65-0.7-0.8-0.85,75.174-8.019-6.014-3.508-2.005,20-20-22-22-26,65-65-58-58-54,15-15-20-20-20,0.0-25.0-55.0-20.0-30.0,-9999--9999--9999--9999--9999,-9999--9999--9999--9999--9999,0.925-0.755-0.736-0.698-0.679,1440.0-180.0-180.0-180.0-180.0,0.3-0.28-0.17-0.08-0.11,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0
15,2711057,6,1500.0,50.0-90.0-200.0-480.0-900.0-1500.0,0.65-0.65-0.65-0.65-0.7-0.85,75.174-75.174-8.019-7.016-3.508-1.503,15-15-15-15-12-12,45-45-45-40-38-38,40-40-40-45-50-50,5.0-5.0-10.0-15.0-20.0-20.0,-9999--9999--9999--9999--9999--9999,-9999--9999--9999--9999--9999--9999,0.925-0.925-0.755-0.755-0.736-0.679,1440.0-1440.0-270.0-270.0-270.0-270.0,0.2-0.3-0.17-0.15-0.11-0.06,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0
16,2711063,4,1500.0,20.0-80.0-350.0-1500.0,0.6-0.6-0.6-0.6,75.174-75.174-15.035-9.522,12-12-12-12,48-48-48-48,40-40-40-40,5.0-5.0-5.0-20.0,-9999--9999--9999--9999,-9999--9999--9999--9999,0.925-0.925-0.774-0.774,1440.0-1440.0-360.0-360.0,0.2-0.45-0.24-0.15,0-0-0-0,0-0-0-0,0-0-0-0,0-0-0-0,0-0-0-0
17,2711064,6,1500.0,200.0-340.0-560.0-790.0-1090.0-1500.0,0.8-0.8-1.05-1.15-1.2-1.5,6.014-6.014-3.007-2.005-0.752-0.251,13.0-13.0-14.0-14.0-13.0-5.0,62.0-57.0-46.0-46.0-47.0-5.0,25.0-30.0-40.0-40.0-40.0-90.0,0.0-0.0-0.0-0.0-0.0-45.0,-9999--9999--9999--9999--9999--9999,-9999--9999--9999--9999--9999--9999,0.698-0.698-0.604-0.566-0.547-0.434,180.0-180.0-144.0-144.0-144.0-900.0,0.33-0.33-0.19-0.18-0.17-0.02,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0
18,2752832,5,890.0,80.0-200.0-410.0-610.0-890.0,0.7-0.7-0.75-0.75-0.8,75.174-8.019-4.009-3.007-0.752,18-18-20-20-20,47-47-38-32-30,35-35-42-48-50,0.0-35.0-40.0-40.0-15.0,-9999--9999--9999--9999--9999,-9999--9999--9999--9999--9999,0.925-0.736-0.717-0.717-0.698,1440.0-270.0-270.0-270.0-270.0,0.2-0.09-0.09-0.12-0.07,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0
19,2776830,6,1500.0,40.0-240.0-430.0-670.0-1050.0-1500.0,0.85-0.85-1.05-1.15-1.2-1.3,75.174-6.014-5.012-3.007-2.005-0.752,18-18-18-24-30-34,42-42-42-46-45-46,40-40-40-30-25-20,0.0-10.0-5.0-10.0-15.0-10.0,-9999--9999--9999--9999--9999--9999,-9999--9999--9999--9999--9999--9999,0.925-0.679-0.604-0.566-0.547-0.509,1440.0-270.0-144.0-72.0-28.8-28.8,0.2-0.21-0.15-0.16-0.16-0.15,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0
20,2776832,6,1500.0,60.0-130.0-380.0-600.0-880.0-1500.0,0.75-0.75-0.8-1.0-1.05-1.1,75.174-7.016-7.016-4.009-3.508-2.005,20-20-22-26-24-24,60-60-58-54-56-56,20-20-20-20-20-20,0.0-30.0-30.0-30.0-30.0-30.0,-9999--9999--9999--9999--9999--9999,-9999--9999--9999--9999--9999--9999,0.925-0.717-0.698-0.623-0.604-0.585,1440.0-180.0-180.0-72.0-72.0-72.0,0.3-0.26-0.26-0.2-0.2-0.18,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0
21,2816453,6,1500.0,60.0-130.0-380.0-600.0-880.0-1500.0,0.75-0.75-0.8-1.0-1.05-1.1,75.174-7.016-7.016-4.009-3.508-2.005,20-20-22-26-24-24,60-60-58-54-56-56,20-20-20-20-20-20,0.0-30.0-30.0-30.0-30.0-30.0,-9999--9999--9999--9999--9999--9999,-9999--9999--9999--9999--9999--9999,0.925-0.717-0.698-0.623-0.604-0.585,1440.0-180.0-180.0-72.0-72.0-72.0,0.3-0.26-0.26-0.2-0.2-0.18,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0,0-0-0-0-0-0
22,2816454,3,640.0,50.0-360.0-640.0,0.8-0.8-1.05,75.174-7.016-3.508,18-18-25,42-42-30,40-40-45,0.0-25.0-40.0,-9999--9999--9999,-9999--9999--9999,0.925-0.698-0.604,1440.0-270.0-144.0,0.2-0.17-0.07,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
