StationID	Y	M	D	TMEAN	TMAX	TMIN	RM	WS	SSD
58321	2010	4	7	11.1	15.1	4.8	40	2	25.2 
58321	2010	4	8	11.2	13.7	7.7	57	2.6	11.7 
58321	2010	4	9	13.3	19.8	7.9	71	2.9	23.7 
58321	2010	4	10	15.5	20.2	11.6	70	3.4	9.7 
58321	2010	4	11	11.4	15	10.7	90	3	8.8 
58321	2010	4	12	10.9	14.1	9.7	88	2.7	8.8 
58321	2010	4	13	9.6	12.3	7.6	62	3.5	11.7 
58321	2010	4	14	6.1	10.6	4.1	74	4	8.9 
58321	2010	4	15	6.2	9.4	3.9	73	1.9	12.1 
58321	2010	4	16	11.2	17.1	4.8	71	3.1	27.1 
58321	2010	4	17	16.5	22.6	10.5	64	2.6	23.1 
58321	2010	4	18	15.1	18.8	13.1	91	1.3	9.0 
58321	2010	4	19	17.3	21.1	14.8	91	1.3	9.3 
58321	2010	4	20	17.1	18.7	15.4	91	2.9	9.0 
58321	2010	4	21	13.3	15.7	10.5	91	3.9	9.1 
58321	2010	4	22	13.4	16.6	10	80	2.8	13.8 
58321	2010	4	23	15.4	20.7	9.6	63	1.6	27.1 
58321	2010	4	24	15.6	21.3	9.2	62	2.1	24.2 
58321	2010	4	25	14.9	18.9	13.1	69	1.5	14.1 
58321	2010	4	26	16.4	21.2	12.6	67	3	24.6 
58321	2010	4	27	17.5	21.2	13.4	46	2.1	27.3 
58321	2010	4	28	16	19.9	14.1	47	3.4	26.9 
58321	2010	4	29	17.9	24.3	11.2	39	3.1	27.0 
58321	2010	4	30	19.4	25.6	11.3	42	2	28.6 
58321	2010	5	1	20.9	28.9	11.6	51	2.1	28.9 
58321	2010	5	2	24.8	32.1	18.2	60	2.7	29.2 
58321	2010	5	3	27.1	33.6	20.3	49	3	29.3 
58321	2010	5	4	24.8	30.8	21.4	63	3.1	17.1 
58321	2010	5	5	22.4	26.9	19.8	85	2.5	16.0 
58321	2010	5	6	21.6	24.5	19.7	53	2.5	19.2 
58321	2010	5	7	20.2	25.4	13.7	57	1.3	29.6 
58321	2010	5	8	19.1	22.2	17.3	76	1.6	9.3 
58321	2010	5	9	16.8	20.3	14	71	1.8	11.2 
58321	2010	5	10	19.4	23.8	14.5	66	1.8	26.8 
58321	2010	5	11	21.6	28	16	55	2	30.4 
58321	2010	5	12	22.9	28.7	15.7	48	2.3	24.1 
58321	2010	5	13	19.8	24	16.9	58	3.3	11.3 
58321	2010	5	14	16.2	19.7	14.9	78	3.4	9.3 
58321	2010	5	15	18.6	22.1	15.4	72	1.8	9.3 
58321	2010	5	16	21.6	25.7	18.2	81	1.9	9.3 
58321	2010	5	17	22.2	25	20.8	91	2.3	9.3 
58321	2010	5	18	20.7	23	19.5	80	2.1	9.3 
58321	2010	5	19	22.4	28.3	16.2	59	1.6	26.2 
58321	2010	5	20	23.7	29.9	16.6	58	1.2	29.3 
58321	2010	5	21	21.3	24.8	19.9	87	1.9	10.3 
58321	2010	5	22	17.7	20.5	15.6	95	2.8	9.3 
58321	2010	5	23	18	23.3	15.1	80	2.4	12.6 
58321	2010	5	24	23	32.2	14.1	71	1.3	31.3 
58321	2010	5	25	25.1	30.8	20.1	62	1.8	29.2 
58321	2010	5	26	24.5	29.5	20.4	55	2.6	23.3 
58321	2010	5	27	23.9	26.4	22.2	60	1.9	9.3 
58321	2010	5	28	20.3	22.9	18.4	89	1.5	9.3 
58321	2010	5	29	22.2	27.5	17.9	77	1.1	23.0 
58321	2010	5	30	24.3	29.5	18.6	72	2	30.2 
58321	2010	5	31	23.8	28.2	20	66	2.9	27.3 
58321	2010	6	1	22.5	26	19.1	64	2.4	14.2 
58321	2010	6	2	23	27.1	19	60	2.5	22.3 
58321	2010	6	3	22.1	26	18.7	60	2.4	18.6 
58321	2010	6	4	22.5	27.4	17.5	61	2.2	28.7 
