# ALL AVAILABLE OUTPUT SETTINGS.
# Last updated: 2017-7-12
# MODULECLASS: MODULE CLASS, e.g., PET.
# OUTPUTID: VARIABLE NAME FOR OUTPUT
# DESCRIPTION: DESCRIPTION of OUTPUT
# UNIT: DEFAULT UNIT
# TYPE: DATA AGGREGATION TYPE, e.g., SUM, AVE, MAX, NONE, etc. Types divided by '-', e.g., "SUM-AVE".
# STARTTIME: DATA DERIVED TIME START, FORMAT MUST BE "YYYY-MM-DD HH:MM:SS", e.g., 2011-01-01 00:00:00 
# ENDTIME: DATA DERIVED TIME END, SEE STARTTIME
# SUBBASIN: SELECTED SUBBASIN ID(s). 'ALL', 'OUTLET' ARE SELECTABLE, OR SUBBASIN ID NUMBERS SPLIT BY '-',0 IS EQUAL TO 'ALL'.
# FILENAME: OUTPUT FILENAME WITH SUFFIX, e.g., txt, asc, tif. FINAL FILENAME WILL BE APPENDED BY TYPE!
# USE：OUTPUT OR NOT. DEFAULT IS 0, i.e., NOT USED. CHANGE TO 1 IF IT IS WANTED!

MODULE_CLASS,OUTPUTID,DESCRIPTION,UNIT,TYPE,STARTTIME,ENDTIME,INTERVAL,INTERVAL_UNIT,SUBBASIN,FILENAME,USE
Plant growth,PLANT_N,Nitrogen in plant biomass,kg/ha,SUM-AVE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,PLANT_N.tif,0
Plant growth,PLANT_P,Phosphorus in plant biomass,kg/ha,SUM-AVE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,PLANT_P.tif,0
Plant growth,BIOMASS,Land cover/crop biomass (dry weight),kg/ha,SUM-AVE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,BIOMASS.tif,0
Nutrient,SOL_NO3,Nitrate concentration in soil layers,kg/ha,SUM-AVE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SOL_NO3.tif,0
Nutrient,SOL_NH4,Nitrogen stored in ammonium,kg/ha,SUM-AVE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SOL_NH4.tif,0
Nutrient,SOL_ORGN,organic nitrogen,kg/ha,SUM-AVE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SOL_ORGN.tif,0
Nutrient,SOL_ORGP,organic phosphorus,kg/ha,SUM-AVE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SOL_ORGP.tif,0
Nutrient,SOL_SOLP,Solution phosphorus,kg/ha,SUM-AVE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SOL_SOLP.tif,0
Nutrient,SOL_ACTP,Active mineral phosphorus,kg/ha,SUM-AVE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SOL_ACTP.tif,0
Nutrient,SOL_STAP,Stable mineral phosphorus ,kg/ha,SUM-AVE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SOL_STAP.tif,0
Nutrient,SOL_AORGN,Active organic (humic) nitrogen,kg/ha,SUM-AVE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SOL_AORGN.tif,0
Nutrient,SOL_FON,Fresh organic nitrogen,kg/ha,SUM-AVE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SOL_FON.tif,0
Nutrient,SOL_FOP,Fresh organic phosphorus,kg/ha,SUM-AVE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SOL_FOP.tif,0
Nutrient,HMNTL,nitrogen moving from active organic to nitrate pool in soil profile,kg/ha,SUM,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,HMNTL.tif,0
Nutrient,HMPTL,phosphorus moving from the organic to labile pool in soil profile,kg/ha,SUM,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,HMPTL.tif,0
