Y	M	D	111
2016	8	29	0
2016	8	30	0
2016	8	31	0
2016	9	1	0
2016	9	2	0
2016	9	3	0
2016	9	4	0
2016	9	5	4
2016	9	6	20
2016	9	7	0.5
2016	9	8	0
2016	9	9	0
2016	9	10	0
2016	9	11	0
2016	9	12	0
2016	9	13	0.5
2016	9	14	98.5
2016	9	15	63
2016	9	16	19
2016	9	17	0
2016	9	18	0
2016	9	19	0
2016	9	20	0
2016	9	21	0
2016	9	22	0
2016	9	23	0
2016	9	24	0
2016	9	25	0
2016	9	26	0
2016	9	27	1
2016	9	28	112
2016	9	29	125
2016	9	30	3.5
2016	10	1	0.5
2016	10	2	1
2016	10	3	0.5
2016	10	4	0
2016	10	5	0
2016	10	6	1.5
2016	10	7	48
2016	10	8	0.5
2016	10	9	0
2016	10	10	0
2016	10	11	0.5
2016	10	12	0
2016	10	13	4.5
2016	10	14	0.5
2016	10	15	0
2016	10	16	0
2016	10	17	0
2016	10	18	0
2016	10	19	13.5
2016	10	20	14
2016	10	21	26
2016	10	22	23
2016	10	23	3
2016	10	24	0.5
2016	10	25	55
2016	10	26	41
2016	10	27	8.5
2016	10	28	7
2016	10	29	1
2016	10	30	14
2016	10	31	1
2016	11	1	0
2016	11	2	0
2016	11	3	0
2016	11	4	0
2016	11	5	0
2016	11	6	0
2016	11	7	29
2016	11	8	0
2016	11	9	0.5
2016	11	10	0
2016	11	11	0
2016	11	12	0
2016	11	13	0
2016	11	14	0
2016	11	15	0
2016	11	16	5
2016	11	17	2.5
2016	11	18	3
2016	11	19	1.5
2016	11	20	0
2016	11	21	10.5
2016	11	22	3
2016	11	23	7.9
2016	11	24	0
2016	11	25	6
2016	11	26	1
2016	11	27	0
2016	11	28	0
2016	11	29	1.5
2016	11	30	0
2016	12	1	0
2016	12	2	0
2016	12	3	0
2016	12	4	0
2016	12	5	0
2016	12	6	0
2016	12	7	0
2016	12	8	0
2016	12	9	0
2016	12	10	0
2016	12	11	0
2016	12	12	2
2016	12	13	13.5
2016	12	14	0
2016	12	15	0
2016	12	16	0
2016	12	17	0
2016	12	18	0
2016	12	19	5
2016	12	20	5.5
2016	12	21	3.5
2016	12	22	0
2016	12	23	0
2016	12	24	4
2016	12	25	14.5
2016	12	26	5.5
2016	12	27	0
2016	12	28	0
2016	12	29	0
2016	12	30	0
2016	12	31	0
